3310,1435,0100486B37,1
3610,1435,01004BB3A2,1
3910,1435,01004BB3C7,1
4210,1435,0100483E7B,1
4510,1435,0100490FA7,1
4810,1435,6F001F7768,1
5110,1435,01004751CE,1
5410,1435,6F001FD02D,1
5710,1435,01004951CC,1
6010,1435,01003A2393,1

160,1695,01003328C5,1
460,1695,02004267A6,1
760,1695,0100499A0F,1
1060,1695,0100395241,1
1360,1695,03002DB68E,1
1660,1695,020053DB7D,1
1960,1695,4400738B33,1
2260,1695,4F004040F1,1
2560,1695,01004B84F0,1
2860,1695,4F00415EB1,1
3160,1695,01004A8C1C,1
3460,1695,4F00410045,1
3760,1695,0100495F4F,1
4060,1695,4400738840,1
4360,1695,01004B2DD4,1
4660,1695,01004B574A,1
4960,1695,01004B8542,1
5260,1695,01004B0879,1
5560,1695,6F001CF239,1
5860,1695,6F001F1686,1

310,1955,01004754D7,1
610,1955,0100330F98,1
910,1955,01004B32EB,1
1210,1955,0100441694,1
1510,1955,03002E729A,1
1810,1955,010033151E,1
2110,1955,6F001F169F,1
2410,1955,01004A9227,1
2710,1955,01004B987C,1
3010,1955,4400738B35,1
3310,1955,4F00415DD1,1
3610,1955,010049370E,1
3910,1955,01004B9956,1
4210,1955,4400740A15,1
4510,1955,6F001F1677,1
4810,1955,6F001F777C,1
5110,1955,01004291F6,1
5410,1955,01004966BC,1
5710,1955,01004A540D,1
6010,1955,6F001D6347,1

160,2215,0200580670,1
460,2215,4F0055565F,1
760,2215,0200533AB5,1
1060,2215,01004BB30C,1
1360,2215,020053B9B5,1
1660,2215,4F00552750,1
1960,2215,020053D72C,1
2260,2215,4F0041FDBB,1
2560,2215,010049493B,1
2860,2215,01004B7E6F,1
3160,2215,440072FE83,1
3460,2215,010043D665,1
3760,2215,010039C3ED,1
4060,2215,0100412189,1
4360,2215,010047EEAB,1
4660,2215,0100408BEB,1
4960,2215,01004A62E8,1
5260,2215,41002140D9,1
5560,2215,0300FA50E8,1
5860,2215,010040726E,1

310,2475,010047F07A,1
610,2475,01004B813A,1
910,2475,01004A4EE9,1
1210,2475,010047C5FE,1
1510,2475,01004BB2FD,1
1810,2475,010043B7FE,1
2110,2475,010039D1D3,1
2410,2475,440073CFB7,1
2710,2475,010047B680,1
3010,2475,01004B95E1,1
3310,2475,4F0040ADAF,1
3610,2475,4400730C57,1
3910,2475,4F00415965,1
4210,2475,440075ABAC,1
4510,2475,6F001C9EBC,1
4810,2475,0300FA5095,1
5110,2475,01004751B4,1
5410,2475,01004934C0,1
5710,2475,0100408085,1
6010,2475,01004751BD,1

160,2735,4400750047,1
460,2735,020042655C,1
760,2735,440073AA07,1
1060,2735,4400787232,1
1360,2735,01004A5038,1
1660,2735,020053D729,1
1960,2735,010048DB79,1
2260,2735,01003903F5,1
2560,2735,440074E27A,1
2860,2735,4F00408B86,1
3160,2735,4400741A2E,1
3460,2735,01004A438D,1
3760,2735,4400733C24,1
4060,2735,4F00556A2A,1
4360,2735,4F0041FDFC,1
4660,2735,010041315E,1
4960,2735,440073CA69,1
5260,2735,010043F7E4,1
5560,2735,01004920EF,1
5860,2735,01004B8442,1

310,2995,010048958F,1
610,2995,0100440965,1
910,2995,01004B18EB,1
1210,2995,01004BB317,1
1510,2995,03002DE466,1
1810,2995,010043CD44,1
2110,2995,01004B1FEF,1
2410,2995,4F0055274B,1
2710,2995,4F0041FE01,1
3010,2995,010037087D,1
3310,2995,01004B0730,1
3610,2995,01004A6216,1
3910,2995,01004B3F87,1
4210,2995,01004B2C43,1
4510,2995,01004BB3BC,1
4810,2995,4400739A4A,1
5110,2995,01004A43F8,1
5410,2995,6F001F7775,1
5710,2995,010039F127,1
6010,2995,01004A1202,1

160,3255,02003966E7,1
460,3255,01004A6146,1
760,3255,02006234C0,1
1060,3255,0100485727,1
1360,3255,02006756F9,1
1660,3255,4F005584F9,1
1960,3255,02005BA0D9,1
2260,3255,0100495CE9,1
2560,3255,0100392F2B,1
2860,3255,4400733F7D,1
3160,3255,02007DA70A,1
3460,3255,4F004098CE,1
3760,3255,4400797B8C,1
4060,3255,4400738780,1
4360,3255,01003353B8,1
4660,3255,0100423F5B,1
4960,3255,440073EE33,1
5260,3255,0100422A40,1
5560,3255,0100495ADC,1
5860,3255,6F001FD256,1

310,3515,01004A63B8,1
610,3515,01004BB2F2,1
910,3515,4100241E53,1
1210,3515,010047AE03,1
1510,3515,410021438A,1
1810,3515,01004B17A1,1
2110,3515,0100487F01,1
2410,3515,01004B2892,1
2710,3515,01004AD7DD,1
3010,3515,01004B0D0B,1
3310,3515,4F0041FDE7,1
3610,3515,01004A90E9,1
3910,3515,01004AA81C,1
4210,3515,01004B0C4B,1
4510,3515,02005DF3CB,1
4810,3515,010047DE74,1
5110,3515,4400750068,1
5410,3515,6F001F7540,1
5710,3515,01004750CB,1
6010,3515,6F001C9E6B,1

160,3775,01004A4F8E,1
460,3775,02004265AC,1
760,3775,01004077CA,1
1060,3775,02005BA12B,1
1360,3775,4100241E6D,1
1660,3775,02005BAEE5,1
1960,3775,01004B09DB,1
2260,3775,010039026D,1
2560,3775,01004AA9F9,1
2860,3775,02007DD375,1
3160,3775,4F0055299C,1
3460,3775,02007DC7A8,1
3760,3775,4F00555CE0,1
4060,3775,440079BC65,1
4360,3775,4F00422358,1
4660,3775,4400796CA7,1
4960,3775,4F005564C5,1
5260,3775,440073C9B2,1
5560,3775,0100489303,1
5860,3775,01004AC85D,1

310,4035,0100482B76,1
610,4035,0100320C7A,1
910,4035,010048837A,1
1210,4035,01004B02F6,1
1510,4035,4F0041FDA3,1
1810,4035,01004AAAEE,1
2110,4035,0100494E60,1
2410,4035,4400739A2F,1
2710,4035,44007409FC,1
3010,4035,0100493163,1
3310,4035,4400739F37,1
3610,4035,4F0041FDE2,1
3910,4035,44007560F0,1
4210,4035,0100495DB7,1
4510,4035,440073EE15,1
4810,4035,4F0040FD95,1
5110,4035,4400772F0E,1
5410,4035,010039B875,1
5710,4035,010039CBEA,1
6010,4035,6F001FD011,1

